,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,641.2831168174744,9.283293962478638,14.489797250275538,,0.6614091396331787,0.5095039010047913,0.9507936239242554,0.9599999785423279,bottle,256,gpu,draem
0,931.9816007614136,17.435909032821655,14.648298900690758,,0.5901522040367126,0.5662763714790344,0.7075831890106201,0.9185667634010315,pill,256,gpu,draem
0,949.4934632778168,13.872196912765503,13.948641152588392,,0.3215962052345276,0.029727332293987274,0.23508916795253754,0.8530465960502625,screw,256,gpu,draem
0,1366.55859541893,17.17992115020752,11.39702034897281,,0.5876912474632263,0.3207865059375763,0.7097076177597046,0.8124999403953552,cable,256,gpu,draem
0,674.2889275550842,12.153634786605835,11.31916781662972,,0.6282252073287964,0.5927758812904358,0.7072198390960693,0.9051724076271057,capsule,256,gpu,draem
0,806.9403076171875,13.086606740951538,14.218238773640117,,0.7588948011398315,0.48918646574020386,0.8474025726318359,0.8950276374816895,tile,256,gpu,draem
0,645.8682548999786,8.957459926605225,11.475888752114587,,0.595941960811615,0.358093798160553,0.7805556058883667,0.8358209133148193,toothbrush,256,gpu,draem
0,805.7678339481354,13.906351804733276,11.00360419063567,,0.5153917074203491,0.3112058937549591,0.7800962924957275,0.8640776872634888,carpet,256,gpu,draem
0,919.883139371872,14.490267992019653,11.17992965844352,,0.5617090463638306,0.48217663168907166,0.777916669845581,0.6829268336296082,transistor,256,gpu,draem
0,2243.6103036403656,9.630301713943481,13.10679776413913,,0.4832526445388794,0.2966737449169159,0.866332471370697,0.894308865070343,grid,256,gpu,draem
0,1757.2246594429016,13.32716679573059,10.339143098351629,,0.6137405037879944,0.39231547713279724,0.9570175409317017,0.9482758641242981,wood,256,gpu,draem
0,1286.6861779689789,12.342669248580933,11.77356513025556,,0.45119452476501465,0.5435255169868469,0.6932142972946167,0.797687828540802,hazelnut,256,gpu,draem
0,1055.2642710208893,20.9812068939209,13.921426860523894,,0.6207951307296753,0.3466325104236603,0.8847163915634155,0.9173553586006165,zipper,256,gpu,draem
0,673.0395398139954,11.439542055130005,12.261887479350694,,0.4778844714164734,0.24487362802028656,0.8787364363670349,0.914893627166748,leather,256,gpu,draem
0,1522.2477190494537,11.742532968521118,19.611816557034917,,0.7631683349609375,0.7329879999160767,0.9701857566833496,0.9583333730697632,metal_nut,256,gpu,draem
