,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,19.50285840034485,7.727109432220459,21.076466838522393,,0.9830055832862854,0.9511446356773376,0.9936507940292358,0.9763779044151306,bottle,256,gpu,padim
0,23.214552640914917,10.156270265579224,20.453430323264634,,0.9569727182388306,0.9375112652778625,0.8627932071685791,0.9324324727058411,pill,256,gpu,padim
0,20.462944746017456,9.69063949584961,14.032948652610036,,0.9645474553108215,0.9036095142364502,0.8433283567428589,0.8585365414619446,cable,256,gpu,padim
0,20.846105098724365,8.320841789245605,17.5742467536195,,0.9781600832939148,0.9226519465446472,0.758762001991272,0.8787878751754761,screw,256,gpu,padim
0,20.283132314682007,9.088900566101074,14.781706654390943,,0.9843471646308899,0.9169573187828064,0.9014759063720703,0.9603524208068848,capsule,256,gpu,padim
0,19.765920639038086,8.202570676803589,19.473888123796407,,0.9339345693588257,0.8170999884605408,0.9502164125442505,0.9341316819190979,tile,256,gpu,padim
0,16.545847415924072,7.41878604888916,15.063554480558471,,0.9881892800331116,0.9327375292778015,0.888888955116272,0.9230769276618958,toothbrush,256,gpu,padim
0,21.12163496017456,8.464341640472412,13.684149930546605,,0.9835314154624939,0.9487171173095703,0.9454253315925598,0.930232584476471,carpet,256,gpu,padim
0,19.46837019920349,8.273877382278442,14.026618076686063,,0.9679166078567505,0.9152020812034607,0.9199999570846558,0.7956989407539368,transistor,256,gpu,padim
0,19.332481622695923,7.118007183074951,17.30062100292035,,0.917681097984314,0.8091723918914795,0.8571428060531616,0.8925619721412659,grid,256,gpu,padim
0,20.590653896331787,8.094072103500366,13.85831578162842,,0.9474735260009766,0.923429548740387,0.9763157367706299,0.9516128897666931,wood,256,gpu,padim
0,22.22320246696472,8.065093517303467,13.402609505245591,,0.9778572916984558,0.9414042830467224,0.7507143020629883,0.8363636136054993,hazelnut,256,gpu,padim
0,19.69451665878296,9.16807508468628,18.82330977224279,,0.9789443016052246,0.9280661940574646,0.7796744108200073,0.9153845906257629,zipper,256,gpu,padim
0,19.987483263015747,8.039704084396362,16.27237654103714,,0.9936555624008179,0.9826247096061707,0.9823369383811951,0.9837837815284729,leather,256,gpu,padim
0,16.36513638496399,7.698760747909546,31.102168289023698,,0.9695624113082886,0.9143608212471008,0.9613880515098572,0.9738219976425171,metal_nut,256,gpu,padim
