,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,420.99148750305176,7.4766387939453125,16.90479957749562,,0.969612717628479,0.8961526155471802,0.9626984000205994,0.9421488046646118,bottle,256,gpu,stfpm
0,573.6096594333649,11.533392906188965,19.626732707723882,,0.7397882342338562,0.3962482810020447,0.5829241871833801,0.91558438539505,pill,256,gpu,stfpm
0,276.85838508605957,9.864221572875977,12.823222524140245,,0.947600245475769,0.8848552107810974,0.955584704875946,0.9289617538452148,cable,256,gpu,stfpm
0,465.2113616466522,9.411868572235107,13.732136052704794,,0.9727193117141724,0.8821297883987427,0.7865976095199585,0.931034505367279,capsule,256,gpu,stfpm
0,235.09387183189392,8.772326231002808,12.631181899691441,,0.9865860342979431,0.9584437012672424,0.9755216836929321,0.9560439586639404,carpet,256,gpu,stfpm
0,986.1782155036926,9.359301328659058,16.365303759177078,,0.9813896417617798,0.922050952911377,0.8655462265014648,0.887159526348114,screw,256,gpu,stfpm
0,535.5868797302246,7.84552788734436,16.562590310484293,,0.9879590272903442,0.9584914445877075,0.9757727384567261,0.954954981803894,grid,256,gpu,stfpm
0,534.0178427696228,9.129445552825928,13.4712958307735,,0.988243818283081,0.9674108028411865,1.0,1.0,hazelnut,256,gpu,stfpm
0,1125.2946605682373,8.613824605941772,17.318795762899,,0.9699496030807495,0.9031760692596436,0.9462481737136841,0.9479768872261047,tile,256,gpu,stfpm
0,274.5244085788727,8.972840309143066,13.47332574282744,,0.9955324530601501,0.9881520867347717,1.0,1.0,leather,256,gpu,stfpm
0,403.3826777935028,8.798229217529297,22.895678820893686,,0.9694797992706299,0.9372802376747131,0.9833822250366211,0.9684210419654846,metal_nut,256,gpu,stfpm
0,738.8271434307098,6.4608612060546875,14.963610706240102,,0.9892480969429016,0.92316073179245,0.8499999642372131,0.90625,toothbrush,256,gpu,stfpm
0,458.3430287837982,7.592821836471558,14.488625715971736,,0.804201602935791,0.6652990579605103,0.90583336353302,0.8095238208770752,transistor,256,gpu,stfpm
0,275.1818346977234,7.44714093208313,14.644112333484275,,0.9672709703445435,0.9508155584335327,0.9833332896232605,0.9655172228813171,wood,256,gpu,stfpm
0,184.15395665168762,8.425360679626465,19.419048717891563,,0.984549880027771,0.9474512338638306,0.8458508253097534,0.929133951663971,zipper,256,gpu,stfpm
