,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,160.36703515052795,7.672365665435791,21.83500215763057,,0.6260229349136353,0.91558438539505,pill,256,gpu,ganomaly
0,202.86356854438782,7.471367835998535,18.526017599351103,,0.3698412775993347,0.8630136847496033,bottle,256,gpu,ganomaly
0,105.75957822799683,7.292293310165405,18.344212073505908,,0.3474072515964508,0.8530465960502625,screw,256,gpu,ganomaly
0,106.4003472328186,7.78326940536499,13.924847923395914,,0.4805097281932831,0.7603305578231812,cable,256,gpu,ganomaly
0,131.9149045944214,7.470786809921265,19.737020006346626,,0.5064935088157654,0.8324872851371765,tile,256,gpu,ganomaly
0,95.62161707878113,7.511716842651367,14.838813334758582,,0.3611111044883728,0.8333333730697632,toothbrush,256,gpu,ganomaly
0,215.79294395446777,7.738839149475098,14.622081961740962,,0.3266852796077728,0.9045643210411072,capsule,256,gpu,ganomaly
0,113.99838638305664,7.68142294883728,13.39038555314704,,0.16412518918514252,0.8640776872634888,carpet,256,gpu,ganomaly
0,295.4352881908417,7.82359766960144,14.031708492947503,,0.5579166412353516,0.5714285969734192,transistor,256,gpu,ganomaly
0,257.0174286365509,7.0761878490448,19.179384763750043,,0.8813701272010803,0.8925619721412659,grid,256,gpu,ganomaly
0,299.8131363391876,7.300587892532349,13.109706297885193,,0.6938596963882446,0.863309383392334,wood,256,gpu,ganomaly
0,233.48468470573425,7.845299243927002,14.493881527216546,,0.6150000095367432,0.7777777910232544,hazelnut,256,gpu,ganomaly
0,102.75213813781738,7.2507758140563965,17.16992935316089,,0.45693281292915344,0.881481409072876,zipper,256,gpu,ganomaly
0,104.5646300315857,6.725899934768677,15.562357155069682,,0.38790762424468994,0.8518518805503845,leather,256,gpu,ganomaly
0,154.98696875572205,6.305132150650024,31.75255041769835,,0.2854350209236145,0.8942307829856873,metal_nut,256,gpu,ganomaly
