,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,173.09573078155518,8.505998373031616,15.511750914223876,,0.9705537557601929,0.9190431833267212,0.7571429014205933,0.8630136847496033,bottle,256,gpu,reverse_distillation
0,445.40872406959534,10.221487760543823,12.228539681155047,,0.9578254222869873,0.8918926119804382,0.9126687049865723,0.89552241563797,cable,256,gpu,reverse_distillation
0,802.5675103664398,11.109919309616089,17.73459529503866,,0.970213770866394,0.9542614221572876,0.5897436141967773,0.9185667634010315,pill,256,gpu,reverse_distillation
0,281.8699140548706,10.049609899520874,15.513516371267224,,0.9735367298126221,0.896117091178894,0.6218487620353699,0.885496199131012,screw,256,gpu,reverse_distillation
0,131.07603001594543,8.833715200424194,16.203179185063902,,0.9508163928985596,0.8728223443031311,0.5064935088157654,0.8358209133148193,tile,256,gpu,reverse_distillation
0,788.3839678764343,9.805855751037598,12.455233962794393,,0.9876680374145508,0.9316306710243225,0.7670522332191467,0.9437229633331299,capsule,256,gpu,reverse_distillation
0,270.2604978084564,8.007318496704102,13.039299593700571,,0.9765888452529907,0.8394988775253296,0.7111110687255859,0.888888955116272,toothbrush,256,gpu,reverse_distillation
0,195.09923243522644,9.70479941368103,12.395046947670211,,0.9922154545783997,0.9675253629684448,0.9907704591751099,0.9775280952453613,carpet,256,gpu,reverse_distillation
0,368.491498708725,8.650932788848877,12.276656561160246,,0.8174264430999756,0.6860847473144531,0.5462499856948853,0.6194689869880676,transistor,256,gpu,reverse_distillation
0,255.046293258667,8.061071157455444,14.328781431449837,,0.6008050441741943,0.15986336767673492,0.567251443862915,0.8730158805847168,grid,256,gpu,reverse_distillation
0,189.5450837612152,8.824862480163574,12.53418164035075,,0.9491837024688721,0.9265391230583191,0.9964911937713623,0.9833333492279053,wood,256,gpu,reverse_distillation
0,265.57420229911804,9.383721113204956,12.69987531164519,,0.9810507297515869,0.9518863558769226,0.9075000286102295,0.9523809552192688,hazelnut,256,gpu,reverse_distillation
0,106.14649081230164,9.959232091903687,15.830942881592483,,0.8945498466491699,0.6221941709518433,0.731880247592926,0.8962655663490295,zipper,256,gpu,reverse_distillation
0,219.35929107666016,8.154281377792358,14.365767990117691,,0.991152286529541,0.9788047671318054,0.4150815010070801,0.8518518805503845,leather,256,gpu,reverse_distillation
0,362.54230093955994,8.39505648612976,24.58914065726769,,0.9733092188835144,0.9350265860557556,0.6075268983840942,0.8942307829856873,metal_nut,256,gpu,reverse_distillation
