,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,181.986918926239,10.457157135009766,17.415654713283168,,0.9655870795249939,0.892803430557251,0.9214403033256531,0.9377289414405823,pill,256,gpu,fastflow
0,255.40552234649658,7.853995323181152,17.00146574282169,,0.9793951511383057,0.9123545289039612,1.0,1.0,bottle,256,gpu,fastflow
0,67.07876110076904,9.148133754730225,14.99368627994381,,0.9013363122940063,0.6702182292938232,0.7620413899421692,0.884615421295166,screw,256,gpu,fastflow
0,144.68254733085632,8.709208488464355,15.699114594673517,,0.9278091192245483,0.8083536028862,0.9440836906433105,0.9176470637321472,tile,256,gpu,fastflow
0,263.1929063796997,9.34922170639038,11.77662997494966,,0.9547544121742249,0.8550981879234314,0.8864316940307617,0.8522726893424988,cable,256,gpu,fastflow
0,243.99057269096375,7.688161373138428,12.500724202910224,,0.9735258221626282,0.7697539329528809,0.8166667222976685,0.8955223560333252,toothbrush,256,gpu,fastflow
0,220.8275752067566,9.212673902511597,11.997089225231793,,0.9829134941101074,0.8911649584770203,0.8691663146018982,0.9427312612533569,capsule,256,gpu,fastflow
0,100.08990097045898,9.04299020767212,12.167481727214943,,0.9798694849014282,0.9420717358589172,0.9843499064445496,0.95652174949646,carpet,256,gpu,fastflow
0,352.6253743171692,8.812834739685059,11.612544659304632,,0.9557802677154541,0.869259774684906,0.9079166650772095,0.8219177722930908,transistor,256,gpu,fastflow
0,349.88875460624695,7.915050506591797,15.227997614950407,,0.9830519556999207,0.9404404163360596,0.9916457533836365,0.9821428656578064,grid,256,gpu,fastflow
0,198.23192477226257,8.240948915481567,11.688902013351981,,0.95257568359375,0.9267250895500183,0.9798245429992676,0.9836065173149109,wood,256,gpu,fastflow
0,69.10743355751038,8.673036336898804,11.716624414300123,,0.9324113130569458,0.9317697882652283,0.7753571271896362,0.8536584973335266,hazelnut,256,gpu,fastflow
0,214.934175491333,9.24273133277893,14.93439124319264,,0.977228045463562,0.9187720417976379,0.9398634433746338,0.9711934328079224,zipper,256,gpu,fastflow
0,320.53511905670166,7.658470153808594,13.866724683122436,,0.9961017370223999,0.9915859699249268,1.0,1.0,leather,256,gpu,fastflow
0,149.0470631122589,7.8175835609436035,23.780811349513886,,0.9625812768936157,0.8495347499847412,0.9618768095970154,0.957446813583374,metal_nut,256,gpu,fastflow
